Title,Issuer,Date,User
Programming Foundations: Databases,LinkedIn,Issued Apr 2022,asmaa-salem-a11741124
Expert C++,Pluralsight,Issued Jun 2020,asmmo
The Complete 2020 Flutter Development Bootcamp with Dart,Udemy,Issued Aug 2020,assem-salama-913a0a180
The Ultimate MySQL Database Bootcamp,Udemy,Issued Jul 2020,assem-salama-913a0a180
Full Stack Developer Track- August 2018,Udacity,Issued Aug 2018,assem-salama-913a0a180
Google Developer Challenge Scholarship: Front-End Web Dev,Udacity,Issued Nov 2017 · Expired Feb 2018,atefgad
Google Developers Roadshow MENA 2017,GDG (Google Developer Group),Issued Sep 2017 · Expired Sep 2017,atefgad
"Develop Critical Thinking, Decision-Making, and Problem-Solving Skills",LinkedIn,Issued Nov 2022,aya-el-ashry
Introduction to html5,Coursera,Issued Oct 2020,aya-el-ashry
Machine Learning,Coursera,Issued Aug 2020,aya-el-ashry
Professional Web Development Nanodegree,egFWD,Issued Nov 2020,aya-hussein-19a359134
1 Million Arab Coders Initiative - Front End web development,1 Million Arab Coders,Issued Sep 2020,aya-hussein-19a359134
The Whole Team Approach to Continuous Testing,TestAutomationU,Issued Sep 2020,aya-hussein-19a359134
Foundations of Everyday Leadership,Coursera,Issued Dec 2021,ayah-elmaghraby
Algoexpert,AlgoExpert,Issued Oct 2021,ayatoullah-ramzy
Angular Testing,Udemy,Issued Mar 2020,ayatoullah-ramzy
IELTS(Band 6),British Council,Issued Oct 2018,ayatoullah-ramzy
Multiplatform Mobile App Development with Web Technologies,Coursera,Issued Mar 2017,ayman-aladdin-1012
Front-End JavaScript Frameworks: AngularJS,Coursera,Issued Dec 2016,ayman-aladdin-1012
Front-End Web UI Frameworks and Tools,Coursera,Issued Nov 2016,ayman-aladdin-1012
Generative Adversarial Networks (GANs) Specialization,Coursera,Issued Dec 2021,ayman-el-ghotni-1245111a7
Deep Learning Specialization,Coursera,Issued Jul 2020,ayman-el-ghotni-1245111a7
TensorFlow in Practice Specialization,Coursera,Issued Jul 2020,ayman-el-ghotni-1245111a7
Data Scientist with Python Track,DataCamp,Issued Sep 2021,azizmousa
Statistics Fundamentals with Python Track,DataCamp,Issued Jul 2021,azizmousa
Introduction to Git,DataCamp,Issued Jun 2021,azizmousa
Structuring Machine Learning Projects,Coursera,Issued Oct 2019,bahaa-el-deen-b71902156
Combinatorics and Probability,Coursera,Issued Sep 2019,bahaa-el-deen-b71902156
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",Coursera,Issued Sep 2019,bahaa-el-deen-b71902156
Java (Basic),HackerRank,Issued Dec 2021,barmge
"Java Programming: Arrays, Lists, and Structured Data",Coursera,Issued Oct 2020,barmge
Java for Android,Coursera,Issued Oct 2020,barmge
C for Everyone: Programming Fundamentals,Coursera,Issued Nov 2020,baselrabia
Algorithmic Toolbox,Coursera,Issued Jul 2020,baselrabia
Data Structures,Coursera,Issued Jun 2020,baselrabia
Kanban Management Professional - KMP,Kanban University,Issued Aug 2019,bassant-sayed-714801187
AWS Certified Solutions Architect – Associate,Amazon Web Services (AWS),Issued Apr 2021 · Expires Apr 2024,bassant-sayed-714801187
AWS re/Start Accredited Instructor,Amazon Web Services (AWS),Issued Nov 2021 · Expires Apr 2024,bassant-sayed-714801187
M001: MongoDB Basics,MongoDB University,Issued Dec 2021,bassem-desouki
Bachelor of physiotherapy,Egyptian minister of health,,bassemomar
Machine Learning by Standord University,Coursera,Issued Sep 2018,bassent-abuzeid-28178b128
Algorithmic Toolbox,Coursera,Issued Aug 2017,bassent-abuzeid-28178b128
The Complete Android Developer Course by Rob Percival.,Udemy,Issued Aug 2016,bassent-abuzeid-28178b128
Machine Learning - Cross Skilling track,Udacity,Issued Aug 2022,belal-abdelnasser-04
Introduction to SQL Server,DataCamp,Issued May 2022,belal-abdelnasser-04
Predictive Analytics For Business,Udacity,Issued Apr 2022,belal-abdelnasser-04
Dataiku Advanced Designer,Dataiku,Issued Mar 2023,belal-elhossany-a9a851180
Dataiku Developer,Dataiku,Issued Mar 2023,belal-elhossany-a9a851180
Dataiku ML Practitioner,Dataiku,Issued Mar 2023,belal-elhossany-a9a851180
API,IBM,Issued Nov 2018,beshoy-samy-227855110
Cloud Computing,IBM,Issued Nov 2018,beshoy-samy-227855110
Express Web Framework,IBM,Issued Nov 2018,beshoy-samy-227855110
Appium mobile automation,TestAutomationU,Issued May 2022,beshoymoris
Api testing,TestAutomationU,,beshoymoris
Developing SQL Data Models,Sololearn,,beshoymoris
Frontend Development,Brainnest,Issued Oct 2022,bishoy-boules-668320164
JavaScript Essential Training,LinkedIn,Issued Dec 2020,bishoy-boules-668320164
Principles of Programming Languages,Arizona State University,Issued May 2020,bishoy-boules-668320164
CS50: Introduction to Computer Science,edX,,bishoyatif
Supervised Learning with scikit-learn,DataCamp,Issued May 2022,catbit
Fundamentals of Deep Learning,NVIDIA,Issued Apr 2022,catbit
Machine Learning Cross-Skilling Nanodegree Program,Udacity,Issued Apr 2022,catbit
High School certificate,United Latino Students Association,Issued Sep 2010 · Expired Jun 2013,dalia-mooh
Web development using Node js and Angular,National Telecommunication Institute (NTI),Issued Nov 2021 · Expired Jan 2022,dalia-saeed-3804a7147
Cisco Certified Network Associate Routing and Switching (CCNA),National Telecommunication Institute (NTI),Issued Jun 2021 · Expired Aug 2021,dalia-saeed-3804a7147
Software Engineering Fundamental,Information Technology Institute (ITI),Issued Sep 2020 · Expired Dec 2020,dalia-saeed-3804a7147
Introduction to Databases for Back-End Development,Coursera,Issued Jan 2023,derbalajr
Programming in Python,Coursera,Issued Sep 2022,derbalajr
Version Control,Coursera,Issued Sep 2022,derbalajr
Freelancing Basics,Information Technology Institute (ITI),Issued Dec 2021,devibrahimhamed
Getting started as a freelancer (Mostaql),Information Technology Institute (ITI),Issued Dec 2021,devibrahimhamed
Getting started as a freelancer (Upwork),Information Technology Institute (ITI),Issued Dec 2021,devibrahimhamed
Google Cloud Certified Professional Cloud Architect,Qwiklabs,Issued Aug 2019,dibo
Angular expert,Google,Issued Jan 2010,dibo
Full stack development,Microsoft,Issued Feb 2009,dibo
AWS Cloud Technical Essentials,Amazon Web Services (AWS),Issued Jan 2023,dilawar
XCS224U - Natural Language Understanding,Stanford Online,Issued Oct 2022,dilawar
Natural Language Processing Specialization,DeepLearning.AI,Issued Sep 2021,dilawar
Advanced Data Analysis,Udacity,Issued May 2021,dina-adel-shalabi-39a926135
Convolutional Neural Networks,DeepLearning.AI,Issued Oct 2020,dina-adel-shalabi-39a926135
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",DeepLearning.AI,Issued Oct 2020,dina-adel-shalabi-39a926135
UCMAS,Maadi public Library,,dina-alaa-20a5091a7
Fundamentals of Reinforcement Learning,Coursera,Issued Oct 2022,dina-elkholy14
Reinforcement Learning Foundations,LinkedIn,Issued Oct 2022,dina-elkholy14
Advanced Data Analysis,Udacity,Issued May 2021,dina-elkholy14
Advanced Front-End Web Development,Udacity,Issued Feb 2022,dinakhorshed
Web Development Professional,Udacity,Issued Jan 2021,dinakhorshed
front end web developer nanodegree,Udacity,Issued Sep 2017,dinakhorshed
Full stack web development using mern,Information Technology Institute (ITI),Issued Mar 2022,doaa-eldesoki
HTML and CSS,Mahara tech,,doaa-eldesoki
Introduction to Programming Using Python,Coursera,,doaa-eldesoki
Full Stack Web Developing,1 Million Arab Coders,Issued Sep 2020,doaa-hindawii-b542a71b4
Professional in Human Resources,Assuit University,Issued Jul 2018,doaa-hindawii-b542a71b4
Using Python to Interact with the Operating System,Coursera,Issued Oct 2020,doaa-yehia98
Mathematics for Machine Learning: Linear Algebra,Coursera,Issued Sep 2020,doaa-yehia98
Fundamental Course in the AWS Machine Learning Scholarship,Udacity,Issued Aug 2020,doaa-yehia98
Agile Intro,IBM,Issued Apr 2021,duha-emad
Unity Junior Programmer,Unity,Issued Mar 2021,duha-emad
Core interaction programming,Unity,Issued Feb 2021,duha-emad
Core &amp; Advanced Web Application with VC# 2005,VirgiTech,Issued Jan 2008,ehab-terra-271b3a23
MCP (Web) VB.net 2003,Microsoft,Issued Oct 2007,ehab-terra-271b3a23
MCP (Windows) VB.net 2003,Microsoft,Issued Feb 2007,ehab-terra-271b3a23
AWS Certified Cloud Practitioner,Amazon Web Services (AWS),Issued May 2022 · Expires May 2025,elaria-adham-416928192
Huawei Certified Academy Instructor,Huawei,Issued Jan 2021 · Expires Jan 2027,elsayed-mustafa-848502158
Artificial Intelligence(HCIA),Huawei,Issued Sep 2021 · Expires Sep 2024,elsayed-mustafa-848502158
Artificial Intelligence(HCIA),Huawei,Issued May 2020 · Expires May 2023,elsayed-mustafa-848502158
Project Management,The American University in Cairo,Issued Nov 2017,emad2nd
Agile Project Management,Lynda.com,Issued Nov 2016,emad2nd
Software Project Management,Software Engineering Competence Center-SECC,Issued Jan 2016,emad2nd
udacity front end development nanodegree,Udacity Mentors &amp; Reviewers Opportunities,Issued Jun 2019,eman-abd-elaziz-5b480219b
css fundamentels course,Sololearn,,eman-abd-elaziz-5b480219b
front end diploma,Route,,eman-abd-elaziz-5b480219b
ISTQB (International Software Testing Qualifications Board) Certificate,Issued Nov 2012,,eman-hosam-18b2a4103
React: Building Progressive Web Apps (PWAs),LinkedIn,Issued Apr 2021,eman-othman-26634914a
Learning Java,LinkedIn,Issued Mar 2021,eman-othman-26634914a
Git Essential Training: The Basics,LinkedIn,Issued Oct 2020,eman-othman-26634914a
Artificial Intelligence Analyst - Explorer Award 2019,IBM,Issued Sep 2019,eman-rafik-00973416b
Artificial Intelligence Analyst - Mastery Award 2019,IBM,Issued Sep 2019,eman-rafik-00973416b
IoT Cloud Developer - Mastery Award 2019,IBM,Issued Jul 2019,eman-rafik-00973416b
Certified Trainer - Software Engineering,NEN -&gt; National Education Network,Issued Jul 2018 · Expires Jul 2023,engkhaledmousa
Dell EMC IOT bootcamp,Dell EMC,,engyelshorbagy01
Microservices Foundations,LinkedIn,Issued Mar 2020,eslam--adel
Exam 483: Programming in C#,Microsoft,Issued Dec 2019,eslam--adel
SQL (Advanced) Certificate,HackerRank,Issued Sep 2020,eslam-abuelseaoud
Foundations for Big Data Analysis with SQL (with Honors),Coursera Course Certificates,Issued Apr 2020,eslam-abuelseaoud
Convolutional Neural Networks,Coursera Course Certificates,Issued Dec 2018,eslam-abuelseaoud
LFS101x.2: Introduction to Linux,edX,Issued Jul 2015,eslam-adel-163694b2
Software Testing (ISTQB),Egyptian Software Testing Board (ESTP),Issued Mar 2013,eslam-adel-163694b2
Amazon Web Services Essential Training,Lynda.com,Issued Jan 2017 · Expired Jan 2017,eslam-adel-163694b2
FLUTTER&amp;DART DEVELOPMENT COURSE,Udemy Brasil,Issued Feb 2021,eslam-alaa96
Swift4 &amp;IOS 11 Development Course,Udemy,Issued Aug 2020,eslam-alaa96
Machine Learning,Coursera,Issued Sep 2022,eslam-ashraf-b70880216
2022-CairoFECPC2021-PLACE,ICPC - International Collegiate Programming Contest,Issued Sep 2021,eslam-ashraf-b70880216
C++,Udemy,Issued Sep 2020,eslam-ashraf-b70880216
Big Data Fundamentals with PySpark,DataCamp,Issued Apr 2023,eslam-elassal-740201121
Cleaning Data with PySpark,DataCamp,Issued Apr 2023,eslam-elassal-740201121
Introduction to ChatGPT,DataCamp,Issued Apr 2023,eslam-elassal-740201121
JavaScript (Basic),HackerRank,Issued Mar 2022,eslam-elgedawy
Professional Front-End Web Development,Udacity,Issued Feb 2022,eslam-elgedawy
Machine Learning,Coursera,Issued Jul 2020,eslam-khaled-ek
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",Coursera,Issued Nov 2021,eslam-khodair
Sequence Models,Coursera,Issued Mar 2021,eslam-khodair
Version Control with Git,Coursera,Issued Feb 2021,eslam-khodair
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",Coursera,Issued Dec 2021,eslam-samy-1210
Structuring Machine Learning Projects,Coursera,Issued Nov 2021,eslam-samy-1210
Data Analysis Professional,Udacity,Issued Oct 2021,eslam-samy-1210
MongoDB: The Complete Guide,"Educative, Inc.",Issued Jan 2023,eslam-tayseer-38367b181
Manara-Certified Software Engineer,Manara,Issued Nov 2022,eslam-tayseer-38367b181
Grokking the Coding Interview: Patterns for Coding Questions,"Educative, Inc.",Issued Sep 2022,eslam-tayseer-38367b181
SQL and PostgreSQL,Udemy,Issued Mar 2023,esmail-elmoussel
Microservices,Udemy,Issued Dec 2022,esmail-elmoussel
NestJS,Udemy,Issued Apr 2022,esmail-elmoussel
VLSI CAD Part II: Layout,University of Illinois at Urbana-Champaign| Coursera,Issued Sep 2020,esmail-hany
VLSI CAD Part I: Logic,University of Illinois at Urbana-Champaign| Coursera,Issued Aug 2020,esmail-hany
Developing a Google SRE Culture,Google Cloud Skills Boost,Issued Jun 2022,esraa-antar-b87b9517a
Google Cloud Fundamentals: Core Infrastructure,Google Cloud Skills Boost,Issued Jun 2022,esraa-antar-b87b9517a
Implement DevOps in Google Cloud,Google Cloud Skills Boost,Issued Jun 2022,esraa-antar-b87b9517a
Machine Learning,Coursera,Issued Apr 2021,fady-abouelghit-083533b7
EB tresos Classic AUTOSAR training,Elektrobit,Issued Mar 2023,fady-khalil-5a23961b0
Automotive Ethernet,Udemy,Issued Sep 2022,fady-khalil-5a23961b0
Autosar Architecture (Learn from Scratch with Demo),Udemy,Issued Jun 2022,fady-khalil-5a23961b0
Machine Learning Engineering for Production (MLOps) Specialization,Coursera,Issued Sep 2022,fady-noshy
Deep Learning Specialization,Coursera,Issued Aug 2022,fady-noshy
Deep Learning in Python Track,DataCamp,Issued May 2022,fady-noshy
AWS Certified Solutions Architect – Associate,Amazon Web Services (AWS),Issued Apr 2023 · Expires Apr 2026,fadyek
AWS Certified Cloud Practitioner,Amazon Web Services (AWS),Issued Jan 2023 · Expires Jan 2026,fadyek
Triplebyte Back-End Engineering Certificate,Triplebyte,Issued Nov 2022,fadyelhalfawy
Certified Ethical Hacker (CEH),EC-Council,Issued Jul 2022,fatemaelzahraa28
ISTQB® Specialist Mobile Application Testing,ISTQB® - International Software Testing Qualifications Board,Issued Nov 2020,fatemaelzahraa28
Agile Project Management,edX,Issued Jul 2020,fatemaelzahraa28
GCP Associate Cloud Engineer,Google Cloud Education,Issued Feb 2023,fatma-ali-773658a9
Using Python for Automation,LinkedIn,Issued Jul 2022,fatma-ali-773658a9
Elastic Google Cloud Infrastructure: Scaling and Automation,Google,Issued Jun 2022,fatma-ali-773658a9
AWS Certified Machine Learning – Specialty,Amazon Web Services (AWS),Issued Jul 2021 · Expires Jul 2024,fatma-elbadry-52a179115
"First Place Award for the Best Graduation Project in ""Zewail City CIE Exhibition 2022""",Zewail City of Science and Technology,Issued Jun 2022,fatma-moanes
Data Analysis Professional Nanodegree,Udacity,Issued Nov 2021,fatma-moanes
1st Place Winner at C(4F)2 Artificial Intelligence Hackathon,Dell Technologies,Issued Mar 2021,fatma-moanes
Design Patterns,LinkedIn,Issued Feb 2023,fayrouz-hussien
MongoDB Essential Training,LinkedIn,Issued Feb 2023,fayrouz-hussien
Database fundamentals,MaharaTech - ITIMooca,Issued Aug 2022,fayrouz-hussien
Self-Driving Car Engineer Nanodegree,Udacity,Issued Aug 2021,fouad-ayman-bb3803103
Advanced C Programming,LinkedIn,Issued Oct 2019,fouad-ayman-bb3803103
C Programming for Embedded Applications,LinkedIn,Issued Oct 2019,fouad-ayman-bb3803103
EMC Proven Professional Certification (EMC),Dell EMC,Issued Jun 2018,gehad-mohammed
CKA: Certified Kubernetes Administrator,The Linux Foundation,Issued May 2022 · Expires May 2025,gehad-mohammed
AWS Cloud DevOps Advanced Nanodegree,Udacity,Issued Aug 2022,george-wageeh-047244156
HCIA-Cloud computing,Huawei,Issued Oct 2021,george-wageeh-047244156
Introduction to Cloud Computing by IBM,Coursera,Issued Oct 2021,george-wageeh-047244156
Scrum,Scrum-on باللغة العربية,Issued Oct 2021,ghareeb-elshaikh-a0a750134
Programming Foundations: Object-Oriented Design,LinkedIn,Issued Sep 2021,ghareeb-elshaikh-a0a750134
تعلم نوشن من الصفر حتى الإحتراف,Udemy,Issued Sep 2021,ghareeb-elshaikh-a0a750134
classic control,JELECOM,Issued Sep 2019,habiba-ahmed-ab41a6193
control diploma,MAS Automation,Issued Sep 2019,habiba-ahmed-ab41a6193
analog and digital electronics + PCB design,National Education Network (Egypt),Issued Aug 2019,habiba-ahmed-ab41a6193
SiliconArena LLC internship program (Front End Track),SiliconArena,Issued Oct 2021,habibamahmoud
Big data Specialist,IBM,Issued Aug 2015,hadeer-ahmed-43b875102
CSS - The Complete Guide,Udemy,Issued Feb 2023,haidyelnahass
Laravel,Laracasts,Issued Aug 2021,haidyelnahass
NodeJS - The Complete Guide,Udemy,Issued Aug 2021,haidyelnahass
Angular Intermediate Certificate,HackerRank,Issued Sep 2022,hajar-omar-460394118
Angular Development Cross Skilling,Udacity,Issued Aug 2022,hajar-omar-460394118
Angular Basic Certificate,HackerRank,Issued Nov 2020,hajar-omar-460394118
Embedded Software and Hardware Architecture (University of Colorado),Coursera,Issued Mar 2019,halaemad
Embedded Systems Diploma,AMIT Learning,Issued Dec 2018,halaemad
"Oracle Certified Associate, Java SE 8",New Horizons Computer Learning Centers,Issued Mar 2018,halaemad
Advanced Git Techniques,Pluralsight,Issued Oct 2020,hamzafouad
ACM Egyptian Collegiate Programming Contest (ECPC 2018),ICPC - International Collegiate Programming Contest,Issued Sep 2018,hamzafouad
Convolutional Neural Networks,Coursera,Issued Sep 2021,hana-magdy-mohamed-08279b1b9
Deep Learning Specialization,Coursera,Issued Sep 2021,hana-magdy-mohamed-08279b1b9
Sequence Models,Coursera,Issued Sep 2021,hana-magdy-mohamed-08279b1b9
Project Portfolio Management Foundations,LinkedIn,Issued Jan 2023,hanan-shaaban-012416147
Data Structures and Algorithms,Udacity,Issued Jun 2020,hassan-osama
Arab Collegiate Programming Contest (ACPC) 2019,ICPC - International Collegiate Programming Contest,Issued Oct 2019,hassan-osama
Egyptian Collegiate Programming Contest (ECPC) 2019,ICPC - International Collegiate Programming Contest,Issued Oct 2019,hassan-osama
Advanced Front-End Web Development,Udacity,Issued Jan 2021,hayamsaleh
SAE Aero Design East's participation certificate,SAE International,Issued Mar 2016,hayamsaleh
"Heating, Ventilation &amp; Air Conditioning (HVAC) - Engineering Center","Faculty of Engineering, Alexandria University, Egypt",Issued Sep 2015,hayamsaleh
Certified Software Development Associate (CSDA),Transport Information Technology (TransIT),Issued Feb 2021,hazem-amgad-75a36b221
Big Data Developer Mastery Award (2017),IBM,,hazem-el-sherif-118083139
Developing Android Apps,Udacity,,hazem-el-sherif-118083139
Microcontroller Architecture and Interfacing with ARM Cortex,National Telecommunication Institute (NTI),Issued Jul 2022,hazem-khaled-951a991b2
Microcontroller Architecture and Interfacing with AVR,National Telecommunication Institute (NTI),Issued Jun 2022,hazem-khaled-951a991b2
C and Embedded C Programming,National Telecommunication Institute (NTI),Issued May 2022,hazem-khaled-951a991b2
SQL (Basic),HackerRank,Issued Apr 2021,hazemkak
SQL (Intermediate),HackerRank,Issued Apr 2021,hazemkak
JavaScript (Basic),HackerRank,Issued Jul 2020,hazemkak
Convolutional Neural Networks,Coursera,Issued Jul 2022,heba-abdelhakam
Fundamentals of Deep Learning,NVIDIA,Issued Jul 2022,heba-abdelhakam
Structuring Machine Learning Projects,Coursera,Issued Jul 2022,heba-abdelhakam
Learn HTML&amp;CSS,Information Technology Institute (ITI),Issued Mar 2022,heba-abdelnasser
Effective test case and bug reporting writting techniques,Information Technology Institute (ITI),Issued Nov 2021,heba-abdelnasser
Introduction to Software testing concepts and techniques,Information Technology Institute (ITI),Issued Apr 2021,heba-abdelnasser
Advanced Data Analysis Nanodegree,Udacity,Issued Feb 2023,heba-fathy-younis-01871625
Data Analysis Professional Nanodegree,Udacity,Issued Nov 2022,heba-fathy-younis-01871625
Introduction to Data and Data Science,365 Data Science,Issued Nov 2022,heba-fathy-younis-01871625
ACPC' 20,ICPC - International Collegiate Programming Contest,Issued Mar 2021,hemdan99
First Place CairFECPC 2020,ICPC - International Collegiate Programming Contest,Issued Oct 2020,hemdan99
First to solve problem C (CairoFECPC 2020),ICPC - International Collegiate Programming Contest,Issued Oct 2020,hemdan99
Embedded Systems Diploma,Information Technology Institute (ITI),Issued Sep 2021,hend-ibrahim
IoT Applications Development using MasterOfThings platform,Information Technology Institute (ITI),Issued Oct 2020,hend-ibrahim
Introduction to the internet of things,Information Technology Institute (ITI),Issued Aug 2020,hend-ibrahim
Cloud Intro,IBM,Issued Jan 2022,heshammansourisamil
DevOps V3,IBM,Issued Jan 2022,heshammansourisamil
AWS Certified Cloud Practitioner,Amazon Web Services (AWS),Issued Nov 2021 · Expires Nov 2024,heshammansourisamil
Advanced Data Analysis Nanodegree,Udacity,Issued May 2021,hkhairy
Data Analysis Professional Nanodegree Program,Udacity,Issued Oct 2020,hkhairy
Kotlin for Java Developers,Coursera,Issued Oct 2020,hkhairy
Machine Learning Cross-Skilling,Udacity,Issued Dec 2021,hossam-khir-allah
Certificate of completion - Introduction to R Programming,365 Data Science,Issued Nov 2021,hossam-khir-allah
Certificate of completion - Machine Learning in Python,365 Data Science,Issued Nov 2021,hossam-khir-allah
Front-End Web UI Frameworks and Tools,Coursera Course Certificates,Issued Jul 2016,hossam-salah-emam
Using Python to Access Web Data,Coursera Course Certificates,Issued Jul 2016,hossam-salah-emam
An Introduction to Interactive Programming in Python (Part 2),Coursera Course Certificates,Issued Jun 2016,hossam-salah-emam
Jenkins,KodeKloud,Issued May 2022,hossammohamed236
Ansible for the Absolute Beginners Course,KodeKloud,Issued Apr 2022,hossammohamed236
GIT for Beginners,KodeKloud,Issued Apr 2022,hossammohamed236
Introduction to Computer Science and Programming Using Python,edX,Issued Nov 2016,hossammourad
Multiplatform Mobile App Development with Web Technologies,Coursera Course Certificates,Issued May 2016,hossammourad
Deep Learning Specialization,Coursera,Issued Apr 2020,husseinfadl
Sequence Models,Coursera,Issued Apr 2020,husseinfadl
Convolutional Neural Networks,Coursera,Issued Jun 2019,husseinfadl
ICPCID,ICPC - International Collegiate Programming Contest,Issued Oct 2016,hussienibrahiem
Certificate of excellence,ITWorx,Issued Feb 2016,hussienibrahiem
CS50 Introduction to Computer Science,Harvard University,Issued Jun 2022,hzmessam
Full Stack Developer Nanodegree,Udacity,Issued Feb 2021,hzmessam
Web Development Professional Nanodegree,Udacity,Issued Aug 2020,hzmessam
Practical Reinforcement Learning (with Honors),Coursera,Issued Feb 2019,iahmedmaher
Deep Learning Specialization,Coursera,Issued Jul 2018,iahmedmaher
Machine Learning,Coursera,Issued Jun 2018,iahmedmaher
Front-End Nanodegree,Udacity,Issued Oct 2016,iar96
"Oracle Certified Associate, SE 8",Oracle,Issued Aug 2015,iar96
Zend Certification,Zend by Perforce,Issued Oct 2011,iar96
Data or Specimens Only Research,CITI Program,Issued Mar 2023 · Expires Mar 2026,ibrahim-aboalsoud
Java: Testing with JUnit,LinkedIn,Issued Sep 2022,ibrahim-ahmed-1106
Udacity Professional Program in Front-End Web Development,Udacity,Issued Aug 2021,ibrahim-ali-mo
front end developer,Udacity,Issued Mar 2021,ibrahim-ali-mo
PHP,Udemy,Issued Jan 2021,ibrahim-ali-mo
SQL,Synergistx,Issued Aug 2018,ibrahim-hassan-599935123
C#,Synergistx,Issued Dec 2018 · Expired Dec 2018,ibrahim-hassan-599935123
JQuery,Synergistx,Issued Nov 2018 · Expired Nov 2018,ibrahim-hassan-599935123
Browser-based Models with TensorFlow.js,DeepLearning.AI,Issued Jul 2020,ibrahim-sobh-phd-8681757
Device-based Models with TensorFlow Lite,DeepLearning.AI,Issued Jul 2020,ibrahim-sobh-phd-8681757
Big Data Analysis with Spark,edX,,ibrahim-sobh-phd-8681757
Deep Learning Specialization,Coursera,Issued Sep 2020,ibrahimelsaidsaad
Introduction to Data Science in Python,Coursera,Issued Aug 2019,ibrahimelsaidsaad
Machine Learning,Stanford University,Issued Jul 2019,ibrahimelsaidsaad
Delegating Tasks,LinkedIn,Issued Feb 2022,islam-ahmed-54a2b899
Onboarding New Hires as a Manager,LinkedIn,Issued Feb 2022,islam-ahmed-54a2b899
Having Difficult Conversations: A Guide for Managers,LinkedIn,Issued Jan 2022,islam-ahmed-54a2b899
Oracle certified Java professional.,Oracle,,islam-dawood-85230918
AWS re/Start Graduate,Amazon Web Services (AWS),Issued Mar 2022,islam-elmas
AWS Certified Cloud Practitioner,Amazon Web Services (AWS),Issued Jun 2022 · Expires Oct 2025,islam-elmas
AWS Certified Solutions Architect – Associate,Amazon Web Services (AWS),Issued Oct 2022 · Expires Oct 2025,islam-elmas
Associate Reactive Developer,OutSystems,Issued Apr 2022,islam-muhammad13
"Oracle Certified Associate, Java SE 8 Programmer",Oracle,Issued Nov 2016,islammahamed
Scrum Master Certified (SMC),AUC,Issued Oct 2022 · Expired Oct 2022,islammuhamed
Participated in Automotive System Design according ISO 26262:2018 Training,TÜV Rheinland Group,Issued Nov 2022,islamshafeek
IELTS Band 6.5,British Council,Issued Dec 2019 · Expired Nov 2022,islamshafeek
Agile Tester (CTFL-AT),"Information Technology Industry Development Agency, ITIDA",Issued Dec 2022,israa-ashraf-716880143
ISTQB - FL,"Information Technology Industry Development Agency, ITIDA",Issued Jun 2022,israa-ashraf-716880143
API Test Automation with Postman,TestAutomationU,Issued Dec 2021,israa-ashraf-716880143
Microsoft Certified: Azure Fundamentals,Microsoft,Issued Apr 2021,israa-shawkii-ibrahim
Agile Intro,IBM,Issued Feb 2021,israa-shawkii-ibrahim
Fundamentals of Red Hat Enterprise Linux,Coursera,Issued Feb 2021,israa-shawkii-ibrahim
THE TESTING FOUNDATIONS TRACK,"Information Technology Industry Development Agency, ITIDA",Issued Jun 2022,jaylan-khaled-a5a33a146
Test Automation From Zero To Hero,Automatest,Issued Feb 2022,jaylan-khaled-a5a33a146
Scrum Master Certified (SMC),Spiritual Agile,Issued Aug 2021,jaylan-khaled-a5a33a146
"Spring Boot Unit Testing with JUnit, Mockito and MockMvc",Udemy,Issued Nov 2022,kamal-aly-346137115
Neural Networks and Deep Learning,Coursera,Issued Jan 2019,kamal-aly-346137115
Machine Learning,Coursera,Issued Nov 2018,kamal-aly-346137115
Africa &amp; Arab Collegiate Programming Championship (ACPC),ICPC - International Collegiate Programming Contest,Issued Dec 2019,kareem-osama-a9b4ba1b1
Egyptian Collegiate Programming Championship (ECPC),ICPC - International Collegiate Programming Contest,Issued Oct 2019,kareem-osama-a9b4ba1b1
Problem Solving (Basic),HackerRank,Issued Jan 2023,kareem-s-a6a5b4ba
Problem Solving (Intermediate),HackerRank,Issued Jan 2023,kareem-s-a6a5b4ba
S7 1200 Basic system model,Siemens,Issued Sep 2021,kareem-s-a6a5b4ba
Learning Realm for iOS App Development,Lynda.com,Issued May 2018,kariim8
iOS App Development: RESTful Web Services,Lynda.com,Issued May 2018,kariim8
Swift 4 Essential Training,Lynda.com,Issued Mar 2018,kariim8
The Science of Well-Being,Yale University,Issued Jun 2020,karim-el-azzouni-29002385
Neural Networks and Deep Learning,DeepLearning.AI,Issued Aug 2017,karim-el-azzouni-29002385
Machine Learning,Stanford University,Issued May 2017,karim-el-azzouni-29002385
"Build Portfolio Website Using HTML5,CSS3,jQuery &amp; Bootstrap",Udemy: Online Courses,Issued May 2022,karimatif33
Learn CSS - For Beginners,Udemy: Online Courses,Issued Mar 2022,karimatif33
Learn HTML - For Beginners,Udemy: Online Courses,Issued Mar 2022,karimatif33
Building Recommender Systems with Machine Learning and AI,LinkedIn,Issued May 2022,karimhisham
Building a Recommendation System with Python Machine Learning &amp; AI,LinkedIn,Issued May 2022,karimhisham
Machine Learning and AI Foundations: Recommendations,LinkedIn,Issued May 2022,karimhisham
