University,Degree,Date,User
Cairo University,"Bachelor’s Degree, Computer Science",2009 - 2013,arrashed
Alexandria University,"Bachelor's degree, Computer and Communications Engineering",2015 - 2020,arwa-mohammed-abdelhamid
Information Technology Institute (ITI),User Interface Design,2017 - 2018,asmaa-aman
Information Technology Institute (ITI),"Diploma of Education, Cloud Architecture",Oct 2021 - Jun 2022,asmaa-elsayed-ahmed
Cairo University,"Bachelor's degree, Information Technology",Oct 2017 - Jun 2021,asmaa-elsayed-ahmed
MET Acadamey,"Bachelor's degree, Computer Science",2015 - 2019,asmaa-esam-a17b23189
Udemy,The Complete React Native + Hooks,May 2020 - Jul 2020,asmaa-esam-a17b23189
Udacity,Android Basic,May 2019 - Aug 2019,asmaa-esam-a17b23189
Ain Shams University,"Bachelor of Engineering - BE, Electronics and Communications Engineering",2013 - 2018,asmaa-salem-a11741124
Zero To Mastery Academy,"Complete React Developer in 2022 (w/ Redux, Hooks, GraphQL), Computer Software Engineering",Jun 2022 - Sep 2022,asmaa-salem-a11741124
Al-Azhar University,"B.Sc., Special Physics",2012 - 2016,asmmo
Alexandria University,"Bachelor's degree, Computer and Communication Engineering",2017 - 2022,assem-salama-913a0a180
High Institute for Computers and Management Information Systems,"Bachelor’s Degree, Management Information Systems, General",2013 - 2017,atefgad
Fayoum University,"Bachelor of engineering , Computer Engineering",Oct 2017 - Jul 2022,aya-ahmed-aab471256
Faculty of Computers and Artificial intelligence Cairo University,"Bachelor's degree, Information Systems",2017 - 2021,aya-ali-78bba91a2
Ain Shams University,"Bachelor's degree, Computer Engineering",2017 - 2021,aya-el-ashry
Information Technology Institute (ITI),Open Source Applications Development,2020 - 2021,aya-hussein-19a359134
Alexandria University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",2014 - 2019,aya-hussein-19a359134
Helwan University Cairo,"Bachelor of Arts - BA, Italian Language and Literature",Sep 2010 - Jun 2014,aya-magdy13892
Helwan University Cairo,"Bachelor of Arts - BA, Faculty of Arts - Italian Language",2009 - 2014,aya-magdy13892
Cairo University,"Bachelor's degree , Faculty Of Engineering , Computer Engineering",2009 - 2014,ayaelsayed
The American University in Cairo,"Master of Science (M.Sc.), Computer Science",2012 - 2017,ayah-elmaghraby
Cairo University,Bachelor of Computer Engineering,2006 - 2011,ayah-elmaghraby
Information Technology Institute (ITI),.NET Full Stack Development Diploma,2017 - 2018,ayatoullah-ramzy
Tanta University,Computer and control Engineering,2009 - 2014,ayatoullah-ramzy
Port said University,"Pre-master, Computer and Control Department",2015 - 2016,ayatoullah-ramzy
Tanta University,"Bachelor of Engineering (B.Eng.), Computer science and automation department",2011 - 2016,ayman-aladdin-1012
Alexandria University,"Bachelor's degree, Computer and Communications Engineering",2018 - 2022,ayman-el-ghotni-1245111a7
Udacity,Computer Vision Nanodegree,Feb 2021 - Apr 2021,ayman-el-ghotni-1245111a7
Information Technology Institute (ITI),"Postgraduate Degree, Artificial Intelligence",2021 - 2022,azizmousa
Future academy,"Bachelor's degree, Computer Science",2015 - 2019,azizmousa
Fayoum University,"Bachelor's degree, Computers and Information, CS",Sep 2016 - Aug 2020,badr-mohamed-2a307321b
cairo university faculty of engineering,"Bachelor's degree, computer engineering",2017 - 2022,bahaa-el-deen-b71902156
HIMIT,"Bacholar, Computer Science",2019 - 2023,barmge
Al-Imam Al-Shafi’i National School,"High School Diploma, High School/Secondary Diplomas and Certificates",2013 - 2016,barmge
Information Technology Institute (ITI),"Diploma of Education, open source",Sep 2020 - May 2021,baselrabia
Udacity,"NanoDegree, web development",2018 - 2019,baselrabia
Helwan University Cairo,"Bachelor of Engineering - BE, Electrical, Electronics and Communications Engineering",2014 - 2019,baselrabia
Information Technology Institute (ITI),Cloud Platform Development,2018 - 2019,bassant-sayed-714801187
Helwan University Cairo,"Bachelor's Degree , Computer and Information Sciences and Support Services.",2014 - 2018,bassant-sayed-714801187
Cairo University,"Bachelor of Engineering - BE, Electrical and Electronics Engineering",2012 - 2019,bassel-emad-76003878
Information Technology Institute (ITI),MEARN Stack Development,Nov 2021 - Mar 2022,bassem-desouki
Faculty of computers and informatics,"Bachelor's degree, Computer Science",2015 - 2019,bassem-desouki
Zagazig University,Computers and informatics,,bassem-desouki
Alexandria University,"Bachelor's Degree, Computer and Communications Engineering",2016 - 2021,bassem-onsimos
Victoria College,Cambridge IGCSE,2002 - 2016,bassem-onsimos
Cairo University,"Bachelor's degree, Physical Therapy/Therapist",,bassemomar
"Faculty of Engineering, Alexandria University","Bachelor’s Degree, Computer and Systems Engineering",2014 - 2019,bassent-abuzeid-28178b128
El Manar English Language School For Girls (MEGS),High School,2001 - 2014,bassent-abuzeid-28178b128
Fayoum University,"Bachelor's degree, Comupter and Systems Engineering",2017 - 2022,belal-abdelnasser-04
Information Technology Institute (ITI),"Diploma of Education, Business intelligence",Aug 2022 - Nov 2022,belal-abdelnasser-04
Information Technology Institute (ITI),Oct 2020 - Jul 2021,,belal-elgendy-328688113
Alexandria University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",2013 - 2017,belal-elgendy-328688113
Cairo University,"Master's degree, Computer Engineering",Feb 2023 - Sep 2025,belal-elhossany-a9a851180
Cairo University,"Bachelor's degree, Computer Engineering",2017 - 2022,belal-elhossany-a9a851180
Helwan University Cairo,"B.E., Computer Engineering",2014 - 2019,beshoy-samy-227855110
Modern Academy Maadi,"Bachelor of Engineering - BE, Communication and Electronics Engineering",2012 - 2017,beshoymoris
The German University in Cairo,"Bachelor's degree, Mechatronics, Robotics, and Automation Engineering",2011 - 2016,bishoy-boules-668320164
El Salam Language School,2008 - 2011,,bishoy-boules-668320164
Mansoura University,"Bachelor's degree, Computer Engineering",2014 - 2019,bishoyatif
Cairo University,"Undergradute, Artificial Intelligence",Aug 2018 - Aug 2023,catbit
Cairo University,"Bachelor's degree, Computer Science",2013 - 2017,dalia-mooh
El-Helmia Secondary School for girls,"Mathematical Section, Egyption General Secondary Certificate",2010 - 2013,dalia-mooh
Luxor University,"Bachelor of Computer and Information, Computer science",2016 - 2020,dalia-saeed-3804a7147
Faculty of Computer Science and Information Technology - Cairo university,"Bachelor's degree, Major : Information System , Minor : Decision Support",2013 - 2017,daliaihab
The British University in Egypt,"Master's degree, Masters of Web Science",2017 - 2019,deena-elmenshawy-9b8481194
The British University in Egypt,"Bachelor of Science - BS, Computer Software Engineering",2013 - 2017,deena-elmenshawy-9b8481194
Arab Open University,"Bachelor of Science - BS, Computer Science",Sep 2018 - Aug 2022,derbalajr
The Open University,"Bachelor of Science - BS, Computer Science",Sep 2018 - Aug 2022,derbalajr
Mansoura University,"Information technology Pre-Master, Computer and Information Science",Oct 2022 - Oct 2023,devahmedemad
Mansoura University,"Bachelor's degree, Computer and Information Science",2018 - Jul 2022,devahmedemad
Information Technology Institute (ITI),IOS Development,Dec 2021 - Mar 2022,devibrahimhamed
Mansoura University,"Bachelor's degree, Engineering",2015 - 2020,devibrahimhamed
"faculty of engineering , universty of Alexandria","Master's degree, Civil Engineering",,dibo
Norwegian University of Science and Technology (NTNU),"Bachelor of Science - BS, Computer Science",2018 - 2021,dilawar
Norwegian University of Science and Technology (NTNU),"Courses, Mathematics and Statistics",Aug 2019 - Jun 2021,dilawar
"Faculty of Engineering, Ain Shams University","Bachelor of Engineering - BE, Computer Engineering",2016 - 2021,dina-adel-shalabi-39a926135
Cairo University,"Bachelor's degree, Computer Engineering",2017 - 2022,dina-alaa-20a5091a7
Zewail City of Science and Technology,"Bachelor's degree, communications and information engineering",2016 - 2021,dina-elkholy14
Cairo University,"Bachelor's degree, Computer Engineering",2015 - 2020,dina-walid-06385b1b0
Maadi Canal Language Schools,High School Diploma,,dina-walid-06385b1b0
ElShourok Academy,"Bachelor of Engineering (B.E.), Biomedical Engineering and Systems Control",2006 - 2011,dinakhorshed
ITI,User Interface development Specialist,,dinakhorshed
Information Technology Institute (ITI),Full stack web development using mern,Nov 2021 - Mar 2022,doaa-eldesoki
Alexandria University,"Bachelor's degree, Faculty of science",2015 - 2019,doaa-eldesoki
Assiut University,,,doaa-hindawii-b542a71b4
Ain Shams University,"Bachelor's degree, Faculty Of Computer and Information Sciences, Bioinformatics",2015 - 2019,doaa-mohamed-samir-01031997
Abassia,"High School, Secondary Diplomas and Certificates",2013 - 2015,doaa-mohamed-samir-01031997
Ain Shams University,"Bachelor's degree, Computer and systems",2016 - 2021,doaa-yehia98
El salaam,"High School Diploma, High School/Secondary Diplomas and Certificates",,doaa-yehia98
Higher Technological Institute,2017 - 2022,,doha-osama-0195a8242
Information Technology Institute (ITI),Game programming,2020 - 2021,duha-emad
"Arab Academy for Science, Technology and Maritime Transport","Good, Computer Science",2016 - 2020,duha-emad
Cairo University,"Master of Science - MS, Computer Science",2014 - 2020,ehab-terra-271b3a23
Cairo University,"Higher Diploma, Computer Science",2009 - 2011,ehab-terra-271b3a23
Ain Shams University,"B.Sc. Commerce, Accounting",2002 - 2006,ehab-terra-271b3a23
Information Technology Institute (ITI),Cloud Platform Development Trainee,Oct 2021 - Jun 2022,elaria-adham-416928192
Ain Shams University,"Bachelor's degree, Computer and Information Sciences, General",Sep 2017 - Jul 2021,elaria-adham-416928192
Alexandria University,"Bachelor's degree, Major: Computer Engineering, Minor: Communications Engineering",Sep 2016 - Feb 2022,elborolosymeeral
Udacity,Full Stack Web Developer Nanodegree Program,2020 - 2020,elborolosymeeral
Alexandria Language School,2002 - 2016,,elborolosymeeral
Benha University,"Bachelor's degree, Computer science and Artificial Intelligence",,elsayed-mustafa-848502158
Cairo University,"Bachelor of Science (B.Sc.), Computer Science",2002 - 2007,emad2nd
Helwan University Cairo,"Premaster, Software Engineering",2017 - 2019,emad2nd
Faculty of Engineering,"Bachelor's degree, Electrical, Electronics and Communications Engineering",2005 - 2010,eman-abd-elaziz-5b480219b
Udacity,"nanodegree, front end development",2019 - 2019,eman-abd-elaziz-5b480219b
Udacity,"nanodegree, web development professional",2020 - 2020,eman-abd-elaziz-5b480219b
Cairo University faculty of engineering,"Bachelor's degree, Computer Engineering",2008 - 2013,eman-abdel-ghaffar-75587070
Information Technology Institute,"Technical Diploma, OpenSource",2014 - 2015,eman-abdel-ghaffar-75587070
Information Technology Institute (ITI),"Diploma of Education, user Interface and web development",2019 - 2020,eman-elsayed
Helwan University Cairo,"Bachelor's degree, Biomedical/Medical Engineering",2013 - 2018,eman-elsayed
Cairo University,Bachelor’s Degree,2007 - 2012,eman-hosam-18b2a4103
Cairo University,"Bachelor's degree, Computer Engineering",2018 - 2022,eman-othman-26634914a
Alexandria University,"Bachelor's degree, Computer Engineering",Sep 2016 - Aug 2021,eman-rafik-00973416b
Alexandria University,"Master of Science - MS, Computer Engineering",Sep 2022,eman-rafik-00973416b
The American University in Cairo,"Bachelor of Science - BS, Electrical, Electronics and Communications Engineering",2016 - Jan 2022,eman-saad-59739b164
The American University in Cairo,"Bachelor of Science - BS, Physics",2016 - Jan 2022,eman-saad-59739b164
faculty of computer and information science ain-shams university,"Bachelor's degree, Information Systems",Sep 2013 - Jun 2017,emanhussien95
Alexandria University,"Master of science, Information Technology",Sep 2022,engkhaledmousa
Udacity,"Nanodegree Program, React development",Dec 2022 - Jan 2023,engkhaledmousa
Udacity,"Nanodegree program, Advanced Cloud DevOps",Sep 2022 - Nov 2022,engkhaledmousa
Cairo University,"Bachelor's degree, Computer Engineering",2014 - 2018,engyelshorbagy01
Mansoura University,"Bachelor’s Degree, Computer Science and Information Systems",2009 - 2013,eslam--adel
Ain Shams University,"Bachelor of Engineering - BE, Computer and system engineering",2014 - 2019,eslam-abuelseaoud
"Faculty of Engineering, Alexandria University","Bachelor's degree, Communication and Electronics Engineering",2014 - 2019,eslam-adel-07
Alexandria University,"Bachelor's Degree, Computer Science",2009 - 2013,eslam-adel-163694b2
Udacity,AWS Cloud DevOps Engineer,,eslam-adel-163694b2
October 6 University,"good, Computer science &amp;information system",2014 - 2018,eslam-alaa96
Cairo University,Computer Engineering,2019 - 2024,eslam-ashraf-b70880216
El Saidia Secondary school,High School,2016 - 2019,eslam-ashraf-b70880216
Fadl School,2005 - 2015,,eslam-ashraf-b70880216
University of Ottawa,"Master of Engineering - MEng, MS, Artificial Intelligence and Data Science",Jan 2022 - Feb 2023,eslam-elassal-740201121
Assuit University,"Faculty of Computers and Information,Bachelor's Degree,Multimeida Department,Very Good With Honor",2013 - 2017,eslam-elassal-740201121
Mansoura University,"Bachelor's degree, Computer Science",2014 - 2018,eslam-elgedawy
Elkhnsaa secondary school,general certificate of secondary education,2011 - 2014,eslam-elgedawy
Information Technology Institute (ITI),"very good, Mobile application development",2019 - 2019,eslam-elgedawy
Cairo University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",2018 - 2022,eslam-khaled-ek
Suez Canal University,"Bachelor of Engineering - BE, Petroleum Exploration and Production Engineering",2013 - 2018,eslam-khodair
Electronics and communication engineereng cairo university,"undergraduate, Electrical, Electronics and Communications Engineering",2017 - 2021,eslam-mamdouh-63655016a
FGSSR - Faculty of Graduate Studies for Statistical Research at Cairo University,"Master of Science - MS, Data Science",Oct 2022 - Nov 2024,eslam-samy-1210
Mansoura University,"Bachelor's degree, Mechatronics, Robotics, and Automation Engineering",2015 - 2020,eslam-samy-1210
Ain Shams University,"Bachelor of Engineering - BE, Computer Software Engineering",2015 - 2020,eslam-tayseer-38367b181
Al-Azhar University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",2017 - 2022,esmail-elmoussel
Cairo University,"undergraduate, Electrical and Electronics Engineering",2016 - 2021,esmail-hany
Minia University,"Bachelor's degree, Computer and Information Sciences",Sep 2017 - Jul 2021,esraa-antar-b87b9517a
Alexandria University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",Sep 2017 - Jul 2022,esraa-elbakly
"Faculty of Engineering, Alexandria University, Egypt","Bachelor's degree, Electrical, Electronics and Communications Engineering",Sep 2017 - Jul 2022,esraa-elbakly
Alexandria University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",2017 - 2022,esraa-elbakly
Mansoura University,"Bachelor's degree, Computer Science",Sep 2018 - Jul 2022,eyadhamza
Mansoura University,"Bachelor's degree, Computer Science",2018 - 2022,eyadhamza
Cairo University,"Bachelor's degree, Computer Science",Sep 2020 - Jun 2024,fadiakhaled
The American University in Cairo,"Doctor of Philosophy - PhD, Electrical, Electronics and Communications Engineering",Sep 2021 - Jul 2026,fady-abouelghit-083533b7
The University of Sheffield,"Master's degree, Aerospace, Aeronautical and Astronautical Engineering",Sep 2019 - Sep 2020,fady-abouelghit-083533b7
The American University in Cairo,"Bachelor of Science (B.Sc.), Electrical, Electronics and Communications Engineering",2014 - 2019,fady-abouelghit-083533b7
Alexandria University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",2014 - 2019,fady-attia-01
Information Technology Institute (ITI),"Diploma of Education, Embedded Cybersecurity",Feb 2023 - May 2023,fady-khalil-5a23961b0
Information Technology Institute (ITI),"Diploma of Education, Embedded systems",Oct 2021 - Jul 2022,fady-khalil-5a23961b0
UCSI,"Bachelor's degree, Mechatronics, Robotics, and Automation Engineering",Jan 2017 - Dec 2020,fady-khalil-5a23961b0
Information Technology Institute (ITI),artificial intelligence and machine learning,Apr 2021 - Jan 2022,fady-noshy
Alexandria University,"Bachelor of Engineering - BE, Mechanical Engineering",2015 - 2020,fady-noshy
London South Bank University,"Bachelor's degree, Computer Science",Jul 2021,fadyek
The British University in Egypt,"Bachelor's degree, Computer Science",Jul 2021,fadyek
"Arab Academy for Science, Technology and Maritime Transport","Bachelor's degree, Computer Science",2016 - 2020,fadyelhalfawy
Cairo University,Computer Engineering,2015 - 2020,farah-mostafa-077810185
Modern Narmer Language School,"98%, High School",2015,farah-mostafa-077810185
Ain Shams University,"Bachelor of Computer and Information Sciences, Information Technology",2012 - 2016,fatemaelzahraa28
Ahram Canadian University - ACU,"Bachelor's degree, Computer Science",2014 - 2018,fatma-ali-773658a9
Cairo University,"Bachelor of Engineering - BE, computer engineering",2015 - 2020,fatma-elbadry-52a179115
Zewail City of Science and Technology,"Bachelor's degree, Communications and Information Engineering",2017 - 2022,fatma-moanes
Information Technology Institute (ITI),open source department,2015 - 2016,fatma-sarhan-a4405296
"Faculty of Engineering, Mansoura University","Bachelor (BS), Communication and Electronics",2008 - 2013,fatma-sarhan-a4405296
"Certificate from Mansoura Secondary School for Girls , Mansoura , Eldkahlia , Egypt .",96%,2005 - 2008,fatma-sarhan-a4405296
Ain Shams University,"computer science, Computer and Information Sciences",Jun 2017 - Jun 2021,fayrouz-hussien
Cairo University,"Electrical, Electronics and Communications Engineering",2014 - 2019,fayrouz-yehia
Georgia Institute of Technology,"Master's degree, Computer Science",Dec 2021,fekri102
Udacity,Advanced Data Analysis,Jul 2021 - Sep 2021,fekri102
Mansoura University,"Bachelor's degree, Computer Science",2011 - 2016,fekri102
Ain Shams University,"Bachelor's degree, Computer and system engineering",2013 - 2018,fouad-ayman-bb3803103
Cairo University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",2015 - 2020,gamal-saied-529337124
Information Technology Institute (ITI),Oct 2021 - Jun 2022,,gehad-mohammed
Fayoum University,2014 - 2018,,gehad-mohammed
Ain Shams University,"Bachelor's degree, Computers and Systems Engineering",2017 - 2022,george-wageeh-047244156
Greek Catholic Patriarchal College,school,,george-wageeh-047244156
Cairo University,"Bachelor's degree, Computer Engineering",Jul 2019,ghada-mohamed-a59459211
Advanced Academy,"Bachelor's degree, Information System",2012 - 2016,gsagomaasayedismail
Higher Technological Institute,"Bachelor's degree, communication and electronics",Sep 2017 - Jun 2022,habiba-ahmed-ab41a6193
orman academy language school,2003 - 2017,,habiba-ahmed-ab41a6193
Zewail City of Science and Technology,"Bachelor's degree, Communications and Information Engineering",Sep 2017 - Jun 2022,habiba-maziad
Cairo University,"Bachelor of Science - BS, Systems and Biomedical Engineering",2017 - 2022,habibamahmoud
Cairo University,"Bachelor's degree, Information Technology",2011 - 2015,hadeer-ahmed-43b875102
Ain Shams University,"Bachelor’s Degree, Computer Science",2007 - 2011,hafez-a-elmohsen-7601aa16
Abu Bakr el sedeeek,"high school, Mathematics",2004 - 2007,hafez-a-elmohsen-7601aa16
Ain Shams University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",2014 - 2019,hagar-ali-5a484918b
Information Technology Institute (ITI),Digital IC,2019 - 2020,hagar-ali-5a484918b
Ain Shams University,"Student, Computer Engineering",2017 - 2022,haidyelnahass
Udacity,Front End web development,2018 - 2018,hajar-omar-460394118
Information Technology Institute (ITI),"Computer and Information Sciences, General",Oct 2016 - Jun 2017,hajar-omar-460394118
Beni-Suef University,"Bachelor's degree, Computer Science",2012 - 2016,hajar-omar-460394118
Minufiya University,"Bachelor's degree, Computer Software Engineering",2015 - 2019,halaelsaka2
Alexandria University,"Bachelor of Engineering - BE, Electrical, Electronics and Communications Engineering",2016 - 2021,halaemad
Sacred Heart School,2002 - 2016,,halaemad
Cairo University,"Bachelor's degree, Electronics and Communications Engineering",2015 - 2020,hamzafouad
Al-Tawfikia High School,"High School Diploma, Mathematics",2012 - 2015,hamzafouad
Alexandria University,"Bachelor's degree, Computer Science",Jul 2017 - Aug 2022,hana-magdy-mohamed-08279b1b9
New S.L.S,Diploma of Education,Sep 2004 - Jul 2017,hana-magdy-mohamed-08279b1b9
Cairo University,"Bachelor's degree, Faculty Of Computers And Information",2013 - 2017,hanan-shaaban-012416147
Information Technology Institute (ITI),"diploma, Computer Science",2019 - 2019,hassan-gameil-023017a1
Ain Shams University,"Bachelor's degree, Computer Science",2011 - 2017,hassan-gameil-023017a1
Cairo University,"Bachelor's degree, Computer Engineering",2015 - 2020,hassan-osama
Information Technology Institute (ITI),Full stack .Net web development,2019 - 2019,hayamsaleh
"Faculty of Engineering, Alexandria University","Bachelor's degree, Mechanical Engineering",2012 - 2016,hayamsaleh
Nabawia Mousa experimental secondary school,"Thanawya Amma, secondary school",2008 - 2011,hayamsaleh
"Arab Academy for Science, Technology and Maritime Transport","Bachelor's degree, Computer Science",2017 - 2021,hazem-amgad-75a36b221
Faculty of Computers and Information Cairo University,"Bachelor's degree, Computer Science",2013 - 2017,hazem-el-sherif-118083139
Cairo University,Computer Science,2014 - 2018,hazem-emad-a1a8891b2
Higher Technological Institute,"Bachelor's degree, Mechatronics, Robotics, and Automation Engineering",Sep 2016 - Sep 2021,hazem-khaled-951a991b2
Cairo University,"Bachelor of Science (B.Sc.), Electrical and Electronics Engineering",2011 - 2016,hazem-mamdouh-fekry-979534ab
Saint Fatima Language School,High School Diploma,1996 - 2011,hazem-mamdouh-fekry-979534ab
Cairo University,"Bachelor of Computer Engineering - BE, Computer Engineering",Sep 2018 - Jun 2023,hazemkak
Udacity,Computer Software Engineering,Jul 2022 - Sep 2022,hazemkak
Information Technology Institute (ITI),AI and Machine Learning,Oct 2021,heba-abdelhakam
Minia University,"Bachelor's degree, Computer Engineering",2016 - 2021,heba-abdelhakam
Ain Shams University,"Bachelor's degree, Electrical power and machines",2015 - 2020,heba-abdelnasser
Ain Shams University,"Bachelor's degree, Computer Engineering",2015 - 2020,heba-atef-322790223
"Minufiya University, Faculty of Computer and Information","Master's degree, Information System",Jun 2015,heba-fathy-younis-01871625
ITI,Software Development,Sep 2007 - Jun 2008,heba-fathy-younis-01871625
"Minufiya University, Faculty of Computer and Information","Bachelor's degree, IT",Sep 2003 - May 2007,heba-fathy-younis-01871625
The German University in Cairo,"Bachelor's degree, Computer Engineering",2015 - 2020,heidi-ashraf
Nile University - NU,"Master's degree, Commuication and Information-informatics",Sep 2018 - Oct 2021,heidy-hazem-90053616b
Information Technology Institute (ITI),"Diploma, Mobile application and open source",2014 - 2015,heidy-hazem-90053616b
Mansoura University,"Bachelor's degree, Communication and Information",2009 - 2014,heidy-hazem-90053616b
Cairo University,"Computer Engineering Cairo university, Computer Engineering",2018 - 2022,hemdan99
Al-Azhar University,"Bachelor's degree, Systems and Computer Engineering",2018 - 2023,hend-ibrahim
Cairo University,"Bachelor's degree, Computer Software Engineering",2015 - 2019,hesham-aly
Ain Shams University,"Bachelor's degree, Computer Science",2014 - 2018,heshamelbahey
Information Technology Institute (ITI),"AWS re/Start program learner looking for entry-level cloud role, Amazon Web Services (AWS)",2021,heshammansourisamil
Assiut University,"Bachelor's degree, Computer Science",2015 - 2019,heshammansourisamil
Zewail City of Science and Technology,"Bachelor's degree, Communications and Information Engineering",Sep 2017 - Jun 2022,hkhairy
The German University in Cairo,"Bachelor's degree, Computer Engineering",2017 - 2022,hodaragaie
The International school of elite education,IGCSE,2014 - 2017,hodaragaie
"Arab Academy for Science, Technology and Maritime Transport","Bachelor of computer science , Computer Software Engineering",2014 - 2018,hosamasaad
Mansoura University,"Bachelor's degree, Computer Science",Jul 2019 - Jul 2023,hosametm
Route Academy,Full Stack Web Developmen,Sep 2020 - Feb 2021,hossam-ashraf-a682921ab
Helwan University Cairo,"Bachelor of Commerce - BCom, Management Information Systems, General",2018 - 2022,hossam-ashraf-a682921ab
Nile University - NU,"Bachelor of Engineering - BE, Computer Engineering",2015 - 2020,hossam-elghamry-035180164
Udacity,"Nano-degree, Artificial Intelligence",May 2022 - Jul 2022,hossam-khir-allah
Information Technology Institute (ITI),"Higher National Diploma, Artificial Intelligence",Apr 2021 - Jan 2022,hossam-khir-allah
Udacity,Computer Software Technology/Technician,Dec 2020 - Feb 2021,hossam-khir-allah
Georgia Institute of Technology,"Master of Science - MS, Computer Science - Machine Learning",Jan 2022 - May 2025,hossam-salah-emam
Ain Shams University,"Student, Computer Engineering",2014 - 2019,hossam-salah-emam
"Faculty of Engineering, Alexandria University","Bachelor's degree, Electrical, Electronics and Communications Engineering",2011 - 2016,hossammohamed236
Alexandria University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",2011 - 2016,hossammohamed236
Alexandria University,"Bachelor's degree, Mechanical Engineering",2009 - 2014,hossammourad
EPFL (École polytechnique fédérale de Lausanne),"Doctor of Philosophy - PhD, Computer Science",Sep 2021,husseinfadl
Cairo University,"Master's degree, Computer Engineering",2017 - 2019,husseinfadl
Cairo University,"Bachelor's degree, Computer Engineering",2012 - 2017,husseinfadl
Cairo University,"Bachelor's degree, Computer Science",2017 - 2020,husseinraoouf
freeCodeCamp,Backend Development,Apr 2019 - Jun 2019,husseinraoouf
Assiut University,"Bachelor’s Degree, Computer Science",2014 - 2019,hussienibrahiem
Mansoura University,"Bachelor's degree, Computer Science",Sep 2018 - Aug 2022,hzmessam
Information Technology Institute (ITI),"Summer Training, Backend Development",Jul 2021 - Aug 2021,hzmessam
Udacity,"Nanodegree, Full Stack Development",Oct 2020 - Feb 2021,hzmessam
Georgia Institute of Technology,"Master of Science - MS, Computer Science",2020 - 2023,iahmedmaher
Cairo University,"Bachelor's degree, Major in Computer Engineering (CCEC)",2014 - 2019,iahmedmaher
Orouba Language Schools - Maadi,General Secondary,2014,iahmedmaher
Cairo University,"Bachelor’s Degree, Computer Engineering",2015 - 2019,iar96
Udacity,"Nanodegree, Front-End Developement",2016 - 2016,iar96
Udacity,Android Developement,2015 - 2016,iar96
Future high institute,"Bachelor's degree, Computer Science",2014 - 2017,ibrahim-aboalsoud
Information Technology Institute (ITI),"Diploma, Full-Stack .NET Development Diploma",2019 - 2019,ibrahim-ahmed-1106
Faculty Of Engineering - Tanta University,"Bachelor's degree, Computer Software Engineering",2011 - 2016,ibrahim-ahmed-1106
Information Technology Institute (ITI),2021 - 2021,,ibrahim-ali-mo
Udacity,"Web Page, Digital/Multimedia and Information Resources Design",Aug 2021 - Sep 2021,ibrahim-ali-mo
Al-Azhar University,"Bachelor's degree, Geophysics and Seismology",2015 - 2019,ibrahim-ali-mo
The American University in Cairo,"Bachelor of Science (B.Sc.), Computer Science",2012 - 2016,ibrahim-elsebaie
Mansoura University,"Bachelor of Science - BS, Computer and Information Sciences, General",2015 - 2019,ibrahim-fouad
Fayoum University,Bachelor of Education - BEd,2013 - 2016,ibrahim-hassan-599935123
Cairo University,"PhD -, Machine Learning, Deep Learning, Reinforcement Learning, Fast learning agents",2011 - 2017,ibrahim-sobh-phd-8681757
Cairo University,"M.Sc, Machine Learning, Automatic Document Summarization",2005 - 2009,ibrahim-sobh-phd-8681757
Cairo University,"B.Sc, Computer Engineering",1992 - 1997,ibrahim-sobh-phd-8681757
RPTU Kaiserslautern-Landau,"Master's degree, Computer Science (Intelligent Systems)",2017 - 2019,ibrahimabdelaziz1
Cairo University,"Bachelor of Electrical Engineering, Computer Engineering",2011 - 2016,ibrahimabdelaziz1
Tanta University,"Bachelor's degree, computing and automatic control",2013 - 2018,ibrahimelsaidsaad
Misr University for Science and Technology,"Bachelor's degree, Computer Science",2014 - 2018,ihab-ahmed
Duke University,"AI Product Management Specialization, AI Product Management",Jan 2023,ihab-tag
Udacity,"Machine Learning Cross-Skilling Nanodegree, Artificial Intelligence",Jan 2022 - Jan 2022,ihab-tag
Udacity,"Advanced Data Analysis Nano Degree, Computer Science",2020 - 2020,ihab-tag
Cairo University,"Master of Science - MS, Electrical, Electronics and Communications Engineering",2013 - 2018,islam-ahmed-54a2b899
Cairo University,"Bachelor's Degree, Electrical, Electronics and Communications Engineering",2007 - 2012,islam-ahmed-54a2b899
Coursera,,,islam-ahmed-54a2b899
University of Liverpool,"Master's degree, Computer Science - Cybersecurity",2018 - 2020,islam-dawood-85230918
Helwan University Cairo,"Bachelor's degree, Computer Science",2003 - 2007,islam-dawood-85230918
University of Windsor,"Master of Engineering - MEng, Electrical and Electronics Engineering",Aug 2018 - Jan 2020,islam-elmas
Alexandria University,"Bachelor's degree, Electrical and Power Transmission Installation/Installer, General",2011 - 2016,islam-elmas
IMT School,"Diploma, Embedded Systems",2019 - 2020,islam-elmas
Alexandria University,"Bachelor's Degree, Management Information Systems",2008 - 2011,islam-elsayed-52639a41
