User,CompanyUrl,Company,Title,EmploymentType,From,To,Duration,Location,title_tag
aliaa-attia,https://www.linkedin.com/company/81628835/,Stackzy,frontend developer,Full-time,Mar 2022,Present,14.0,"6th of October, Al Jizah, Egypt",front-end
aliaa-attia,https://www.linkedin.com/company/4827017/,Work,frontend developer,,Jan 2021,Present,28.0,,front-end
aliaa-attia,https://www.linkedin.com/company/28302175/,X-Link Tecnologia,frontend developer,,Dec 2021,Feb 2022,3.0,"Cairo, Egypt",front-end
aliaa-yasser,https://www.linkedin.com/company/26193/,EFG Hermes,software solutions developer,Full-time,Jul 2021,Present,22.0,"Cairo, Egypt",software
aliaa-yasser,UNKNOWN,Admins,full stack engineer,Full-time,May 2020,Jun 2020,2.0,,full-stack
aliaa-yasser,https://www.linkedin.com/company/34938772/,Sofitel Cairo Nile El Gezirah,information technology engineer,,Jul 2019,Oct 2019,4.0,,
aliabdelaal,https://www.linkedin.com/company/162479/,Apple,software engineer,Full-time,Dec 2021,Present,17.0,"Barcelona, Catalonia, Spain",software
aliabdelaal,https://www.linkedin.com/company/1545609/,Toptal,artificial intelligence engineer,Freelance,Jul 2018,Dec 2021,42.0,,AI
aliabdelaal,https://www.linkedin.com/company/294614/,Information Technology Institute (ITI),natural language processing instructor,Contract,Nov 2021,,1.0,Egypt,teaching
aliabdelaal,https://www.linkedin.com/company/653113/,Fusion Analytics,machine learning engineer,Part-time,Jun 2021,Sep 2021,4.0,,AI
aliabdelaal,https://www.linkedin.com/company/18690627/,AiCore,machine learning instructor,Part-time,Mar 2021,Jun 2021,4.0,,AI
alielsherbiny,https://www.linkedin.com/company/10518011/,RDI,c++ developer,Full-time,Nov 2021,Present,18.0,"Cairo, Egypt",software
alielsherbiny,https://www.linkedin.com/company/2669/,Valeo,standard embedded software engineer,,Feb 2019,Jan 2021,24.0,,Embedded
alielsherbiny,https://www.linkedin.com/company/2669/,Valeo,junior embedded software engineer,,Feb 2018,Feb 2019,13.0,,Embedded
alielsherbiny,https://www.linkedin.com/company/1217/,Vodafone,customer service representative,Full-time,Jun 2016,Sep 2016,4.0,Egypt,
alien0x,https://www.linkedin.com/company/845465/,Fixed Solutions,penetration tester,Full-time,Apr 2022,Present,13.0,"Cairo, Egypt",QA
alimagedayad,https://www.linkedin.com/company/2787201/,Syndo,software engineer,Part-time,Oct 2022,Present,7.0,,software
alimagedayad,https://www.linkedin.com/company/2787201/,Syndo,backend intern,Internship,Jul 2022,Oct 2022,4.0,,back-end
alimagedayad,https://www.linkedin.com/company/2818377/,AngelHack,angelhack student ambassador (egypt),,Aug 2021,Present,21.0,,student
alimagedayad,https://www.linkedin.com/company/14572153/,Code for Asia Society Ltd.,local founding team member,,Feb 2019,Jan 2021,24.0,"Cyberjaya, Selangor, Malaysia",
alimagedayad,UNKNOWN,Covid Tutoring Initiative,full stack developer,,May 2020,Aug 2020,4.0,"California, United States",full-stack
alimagedayad,https://www.linkedin.com/company/27184671/,IG academy,back-end developer,,Aug 2016,Jan 2020,42.0,"Cairo Governorate, Egypt",back-end
aly-ramzy-24450b179,https://www.linkedin.com/company/1035/,Microsoft,data scientist,Full-time,Jun 2022,Present,11.0,,data
aly-ramzy-24450b179,https://www.linkedin.com/company/839215/,360Imaging,software engineer,Full-time,Jul 2021,Jun 2022,12.0,,software
aly-ramzy-24450b179,https://www.linkedin.com/company/107961/,SilverKey Technologies,computer vision intern,Internship,Feb 2020,Jul 2020,6.0,Egypt,AI
aly-sabry-4b1a50185,https://www.linkedin.com/company/1862288/,Coformatique,software engineer,Full-time,Jul 2022,Present,10.0,,software
aly-sabry-4b1a50185,https://www.linkedin.com/company/1128/,Dell EMC,software engineer,Full-time,Oct 2021,Jul 2022,10.0,"Cairo, Egypt",software
aly-sabry-4b1a50185,https://www.linkedin.com/company/1862288/,Coformatique,full stack developer,Full-time,Jul 2019,Sep 2021,27.0,"Cairo, Egypt",full-stack
alyeldegwy,https://www.linkedin.com/company/208777/,The Linux Foundation,senior software engineer,Contract,Oct 2019,Present,43.0,,software
alyeldegwy,https://www.linkedin.com/company/5351527/,Andela,senior software engineer,,Oct 2019,Present,43.0,"Cairo Governorate, Egypt",software
alyeldegwy,https://www.linkedin.com/company/3341963/,Senior Steps - IT training center,web development (mean) instructor and trainer,,Apr 2014,Mar 2020,72.0,Egypt,full-stack
alyeldegwy,https://www.linkedin.com/company/28633386/,INTDV,senior ui developer,,Feb 2019,Sep 2019,8.0,"Maadi, Cairo Governorate, Egypt",UI/UX
alyeldegwy,https://www.linkedin.com/company/10298479/,Worcbox,sr. ui developer,,May 2018,Jan 2019,9.0,"Cairo Governorate, Egypt",UI/UX
alyymagdy,https://www.linkedin.com/company/15088102/,Dell Technologies,5g senior test automation engineer,Full-time,Jun 2021,Present,23.0,"Cairo, Egypt",QA
alyymagdy,https://www.linkedin.com/company/2367857/,Cegedim,test automation engineer,Full-time,Dec 2019,Jun 2021,19.0,,QA
alyymagdy,https://www.linkedin.com/company/167822/,_VOIS,robotics process automation engineer,,Sep 2018,Dec 2019,16.0,,QA
alyymagdy,https://www.linkedin.com/company/167822/,_VOIS,test automation engineer,,Dec 2017,Sep 2018,10.0,,QA
alyymagdy,https://www.linkedin.com/company/213715/,Sarmady - a Vodafone Company,ui/ux designer - internship,,Aug 2017,Sep 2017,2.0,,UI/UX
alyymagdy,https://www.linkedin.com/company/10046/,ITWORX,software quality engineer - internship,Internship,Aug 2016,Sep 2016,2.0,,IT
aman-allah-rafat,https://www.linkedin.com/company/1586/,Amazon,software development engineer,Full-time,Oct 2022,Present,7.0,"Dublin, Ireland",software
aman-allah-rafat,https://www.linkedin.com/company/34787/,The German University in Cairo,research and development intern,Internship,Jul 2020,Aug 2020,2.0,"Cairo, Egypt",teaching
aman-allah-rafat,https://www.linkedin.com/company/34787/,The German University in Cairo,junior teaching assistant (jta),Part-time,Feb 2019,Feb 2020,13.0,"Cairo, Egypt",teaching
amina-gaber-088026a5,https://www.linkedin.com/company/17907434/,WideBot,senior data scientist,Full-time,Sep 2021,Present,20.0,,data
amina-gaber-088026a5,https://www.linkedin.com/company/17907434/,WideBot,data scientist,,2018,Oct 2021,46.0,,data
amina-gaber-088026a5,https://www.linkedin.com/company/17907434/,WideBot,intern,Internship,Aug 2018,Nov 2018,4.0,,internship
amir-attya,https://www.linkedin.com/company/13204898/,Tahaluf Al Emarat Technical Solutions تحالف الإمارات للحلول التقنية,senior software engineer,Full-time,Nov 2021,Present,18.0,"Abu Dhabi, United Arab Emirates",software
amir-attya,https://www.linkedin.com/company/71119017/,Yelo,senior software engineer,Full-time,Sep 2019,Oct 2021,26.0,Egypt,software
amir-attya,https://www.linkedin.com/company/5052867/,LeGate Online Booking (Wholesaler),software engineer,,Jan 2019,Sep 2019,9.0,"Cairo Governorate, Egypt",software
amir-attya,https://www.linkedin.com/company/10046/,ITWORX,software engineer,,Sep 2017,Dec 2018,16.0,Egypt,software
amir-attya,https://www.linkedin.com/company/4224884/,Horizons Software,web developer,,Aug 2016,Sep 2017,14.0,"Cairo Governorate, Egypt",full-stack
amira-ashmawy-247252a1,https://www.linkedin.com/company/11254926/,Tactful AI,back end developer,Full-time,Nov 2021,Present,18.0,,back-end
amira-ashmawy-247252a1,UNKNOWN,Freelanceing,back end developer,,Jan 2021,May 2021,5.0,,back-end
amira-ashmawy-247252a1,UNKNOWN,Shebak,python developer,,Feb 2018,Jun 2019,17.0,Egypt,software
amira-ashmawy-247252a1,https://www.linkedin.com/company/18204426/,Optomatica,training,,Nov 2017,Jan 2018,3.0,"egypt, 6-October,Giza",
amira-ashmawy-247252a1,https://www.linkedin.com/company/1009/,IBM,internship,,Jul 2016,Aug 2016,2.0,IBM Egypt,internship
amira-atef-7a90a5156,https://www.linkedin.com/company/41607/,iHorizons,react frontend developer,Full-time,Jan 2021,Present,28.0,"Doha, Qatar",front-end
amira-atef-7a90a5156,https://www.linkedin.com/company/12664499/,Halan - حالا,react frontend developer,Part-time,Sep 2020,Mar 2021,7.0,"Cairo, Egypt",front-end
amira-atef-7a90a5156,https://www.linkedin.com/company/10006007/,Millennium Systems Design,react frontend developer,Full-time,Aug 2019,Jan 2021,18.0,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",front-end
amira-atef-7a90a5156,https://www.linkedin.com/company/5206321/,Restart Technology,react native developer,Full-time,Feb 2019,Jul 2019,6.0,"Giza Governorate, Egypt",mobile
amira-atef-7a90a5156,UNKNOWN,SkillsBus,instructor full stack mern developer,Part-time,Nov 2018,May 2019,7.0,"Cairo Governorate, Egypt",full-stack
amira-khaled-mokhtar,https://www.linkedin.com/company/15088102/,"Dell
                                                                                Technologies","senior analyst, data engineering",,Mar 2023,Present,2.0,"Cairo, Egypt · On-site",data
amira-khaled-mokhtar,https://www.linkedin.com/company/15088102/,"Dell
                                                                                Technologies",data scientist,,Sep 2020,Mar 2023,31.0,,data
amira-khaled-mokhtar,https://www.linkedin.com/company/15088102/,"Dell
                                                                                Technologies",graduate intern,,Aug 2019,Sep 2020,14.0,"Cairo, Egypt",internship
amira-khaled-mokhtar,https://www.linkedin.com/company/10183675/,WebOps,software engineering intern,Internship,Jun 2018,Aug 2018,3.0,"Cairo, Egypt",software
amira-mamoun-395b4862,https://www.linkedin.com/company/1441/,Google,software engineer,Full-time,Jan 2022,Present,16.0,"Mountain View, California, United States",software
amira-mamoun-395b4862,https://www.linkedin.com/company/3846/,Purdue University,full-stack developer,Part-time,Jul 2018,Jan 2022,43.0,"West Lafayette, Indiana, United States",full-stack
amira-mamoun-395b4862,https://www.linkedin.com/company/3846/,Purdue University,graduate student,Full-time,Aug 2018,Dec 2021,41.0,United States,student
amira-mamoun-395b4862,https://www.linkedin.com/company/350987/,Cairo University,graduate teaching assistant,Full-time,2013,Jan 2017,49.0,"Cairo, Egypt",teaching
amira-mamoun-395b4862,https://www.linkedin.com/company/2697/,Mentor Graphics,software engineer intern,Internship,Jul 2012,Aug 2012,2.0,Cairo Egypt,software
amira-nagi-6b705235,UNKNOWN,Andela.,senior software engineer,Full-time,May 2019,Present,48.0,Egypt,software
amira-nagi-6b705235,UNKNOWN,Vodafone International Services (VIS),software development technical lead,,Apr 2017,Feb 2019,23.0,Egypt,Lead
amira-nagi-6b705235,https://www.linkedin.com/company/777868/,Etisalat Misr,senior software developer,,Apr 2016,Apr 2017,13.0,Egypt,software
amira-nagi-6b705235,https://www.linkedin.com/company/1217/,Vodafone International Services (VIS),outsourced software developer,,May 2013,Apr 2016,36.0,Egypt,software
amira-nagi-6b705235,UNKNOWN,NTG Clarity,java developer,,Mar 2012,May 2013,15.0,Giza,software
amiramamdouh,https://www.linkedin.com/company/1217/,Vodafone,senior data scientist,,Feb 2023,Present,3.0,,data
amiramamdouh,https://www.linkedin.com/company/1217/,Vodafone,data scientist,,Jul 2021,Feb 2023,20.0,,data
amiramamdouh,https://www.linkedin.com/company/1128/,Dell EMC,cst,Full-time,Dec 2019,Oct 2020,11.0,"Cairo, Egypt",
amiramohkamal,https://www.linkedin.com/company/2669/,Valeo,junior embedded software engineer,Full-time,Aug 2021,Present,21.0,"Cairo, Egypt",Embedded
amiramohkamal,https://www.linkedin.com/company/294614/,Information Technology Institute (ITI),student,,Sep 2020,Aug 2021,12.0,,student
amiramohkamal,https://www.linkedin.com/company/20666/,ECG Management Consultants,utw-11 program,,Aug 2019,Nov 2019,4.0,,
amiramohkamal,https://www.linkedin.com/company/294614/,Information Technology Institute (ITI),wireless communication internship,Internship,Aug 2019,Oct 2019,3.0,,internship
amiramohkamal,https://www.linkedin.com/company/3014/,Huawei,summer internship,Internship,Jun 2019,Aug 2019,3.0,,internship
aml-esmail-42a8b611b,https://www.linkedin.com/company/235489/,KnowledgeNet,senior frontend developer,,Jun 2021,Present,23.0,,front-end
aml-esmail-42a8b611b,https://www.linkedin.com/company/235489/,KnowledgeNet,frontend developer,,Mar 2020,Jun 2021,16.0,,front-end
aml-esmail-42a8b611b,https://www.linkedin.com/company/19213356/,RoundPixel,frontend developer,Full-time,Jan 2019,Mar 2020,15.0,"Cairo Governorate, Egypt",front-end
aml-esmail-42a8b611b,https://www.linkedin.com/company/1635868/,COREations,ui developer,,Aug 2017,Oct 2018,15.0,Mansoura,UI/UX
aml-esmail-42a8b611b,https://www.linkedin.com/company/3143083/,Deltasoft,ui developer,,Dec 2016,Aug 2017,9.0,Mansoura,UI/UX
aml-esmail-42a8b611b,https://www.linkedin.com/company/294614/,Information Technology Institute (ITI),trainee,,Oct 2015,Jun 2016,9.0,"Mansoura University, Faculty of Computers &amp; Information Science",internship
ammar21,https://www.linkedin.com/company/10398664/,nichepharma,flutter developer,Part-time,Apr 2022,Present,13.0,"El Sheikh Zaid, Al Jizah, Egypt",mobile
ammar21,https://www.linkedin.com/company/167822/,_VOIS,mobile application developer,Internship,Aug 2022,Sep 2022,2.0,"Cairo, Egypt",mobile
ammar21,https://www.linkedin.com/company/15189276/,InstaDeep Ltd,intern,Internship,Aug 2020,Oct 2020,3.0,,internship
amoharib,https://www.linkedin.com/company/5300/,Luxoft,software developer,Full-time,Jul 2022,Present,10.0,Remote,software
amoharib,https://www.linkedin.com/company/17890125/,Bonocle,full stack developer,Part-time,Jun 2021,Present,23.0,,full-stack
amoharib,https://www.linkedin.com/company/313169/,Khatib &amp; Alami,software developer,Full-time,Jan 2019,Jun 2022,42.0,Egypt,software
amoharib,https://www.linkedin.com/company/27027603/,Freelance,android developer,,Mar 2017,Jan 2021,47.0,Egypt,mobile
amr-alaaeldin-ismail,https://www.linkedin.com/company/167822/,_VOIS,senior software engineer technical lead,Full-time,Nov 2022,Present,6.0,"Cairo, Egypt · Hybrid",Lead
amr-alaaeldin-ismail,https://www.linkedin.com/company/87086/,novomind AG,senior software engineer,Full-time,Jan 2022,Nov 2022,11.0,"Alexandria, Egypt · Hybrid",software
amr-alaaeldin-ismail,https://www.linkedin.com/company/5217350/,Eventum IT Solutions,senior software engineer,Full-time,Apr 2020,Jan 2022,22.0,"Alexandria, Egypt",software
amr-alaaeldin-ismail,https://www.linkedin.com/company/87086/,novomind AG,expert software engineer,,Jan 2017,Apr 2020,40.0,Egypt,software
amr-alaaeldin-ismail,https://www.linkedin.com/company/28322/,Bibliotheca Alexandrina,software engineer,,Nov 2015,Dec 2016,14.0,,software
amr-anwr-aa92211b2,https://www.linkedin.com/company/28423178/,Siemens Digital Industries Software,software engineer,Full-time,May 2022,Present,12.0,"Plano, Texas, United States",software
amr-anwr-aa92211b2,https://www.linkedin.com/company/71119017/,Yelo,java software engineer,Full-time,Dec 2021,May 2022,6.0,"Riyadh, Saudi Arabia",software
amr-anwr-aa92211b2,https://www.linkedin.com/company/10062934/,AinArabia-B2B,php developer,Internship,Jul 2017,Sep 2017,3.0,"Naser city , Cairo, Egypt",back-end
amr-el-agamy-45a72a2,https://www.linkedin.com/company/71273635/,Siemens EDA (Siemens Digital Industries Software),engineering manager,,Jan 2022,Present,16.0,,Lead
amr-el-agamy-45a72a2,https://www.linkedin.com/company/71273635/,Siemens EDA (Siemens Digital Industries Software),engineering lead,,Apr 2020,Jan 2022,22.0,,Lead
amr-el-agamy-45a72a2,https://www.linkedin.com/company/28423178/,Siemens Digital Industries Software,engineering manager,Full-time,Aug 2006,Present,201.0,"Cairo, Egypt",Lead
amr-el-agamy-45a72a2,https://www.linkedin.com/company/2697/,Mentor Graphics,technical lead,,Aug 2015,Apr 2020,57.0,Egypt,Lead
amr-el-agamy-45a72a2,https://www.linkedin.com/company/2697/,Mentor Graphics,senior software development engineer,,Aug 2012,Jul 2015,36.0,"Cairo, Egypt",software
amr-el-agamy-45a72a2,https://www.linkedin.com/company/2697/,Mentor Graphics,software development engineer,,Aug 2006,Jul 2012,72.0,,software
amr-elsersy-a29484198,https://www.linkedin.com/company/71273635/,Siemens EDA (Siemens Digital Industries Software),software engineer,Full-time,Jul 2022,Present,10.0,"Cairo, Egypt",software
amr-elsersy-a29484198,https://www.linkedin.com/company/13206497/,COM-IoT Technologies,computer vision intern,Internship,Apr 2022,Jun 2022,3.0,"Dubai, United Arab Emirates",AI
amr-elsersy-a29484198,https://www.linkedin.com/company/5118898/,Open Robotics,software engineer intern,Internship,May 2021,Aug 2021,4.0,,software
amr-elsersy-a29484198,https://www.linkedin.com/company/5118898/,Open Robotics,software engineer intern,Internship,Jun 2020,Aug 2020,3.0,"California, United States",software
amr-elsersy-a29484198,https://www.linkedin.com/company/10910709/,ASU Racing Team,software team leader rov-20,,Jun 2019,Mar 2020,10.0,,Lead
amr-elsersy-a29484198,https://www.linkedin.com/company/10910709/,ASU Racing Team,software team member rov-19,,Sep 2018,May 2019,9.0,,software
amr-elsherbiny-769092138,https://www.linkedin.com/company/15088102/,Dell Technologies,software engineer,Full-time,Sep 2022,Present,8.0,"Cairo, Egypt",software
amr-elsherbiny-769092138,https://www.linkedin.com/company/10518011/,RDI (The Engineering Company for Digital Systems Development),junior software engineer,Full-time,Mar 2021,May 2021,3.0,"Cairo, Egypt",software
amr-elsherbiny-769092138,https://www.linkedin.com/company/6926/,Queen's University,undergraduate researcher,Internship,Jul 2019,Sep 2019,3.0,"Kingston, Ontario, Canada",teaching
amr-elsherbiny-769092138,https://www.linkedin.com/company/2645019/,OFIS SOFT,sql developer,Internship,Jul 2018,Sep 2018,3.0,"Cairo, Egypt",software
amr-elyamany-0158a26b,https://www.linkedin.com/company/11348/,Booking.com,engineering manager,Full-time,Jun 2022,Present,11.0,Amsterdam Area,Lead
amr-elyamany-0158a26b,https://www.linkedin.com/company/11348/,Booking.com,senior software engineer,,Aug 2019,Jun 2022,35.0,"Amsterdam Area, Netherlands",software
amr-elyamany-0158a26b,https://www.linkedin.com/company/11348/,Booking.com,software engineer,,Jan 2016,Aug 2019,44.0,"Amsterdam Area, Netherlands",software
amr-elyamany-0158a26b,https://www.linkedin.com/company/31293/,EJADA,software engineer,,Sep 2013,Nov 2015,27.0,Alexandria,software
amr-elyamany-0158a26b,https://www.linkedin.com/company/268822/,"Faculty of Engineering, Alexandria University, Egypt",research assistant,,Jan 2014,Jan 2015,13.0,Alexandria,teaching
amr-elyamany-0158a26b,UNKNOWN,NARSS Space Technology Program,internship,,Oct 2009,Dec 2009,3.0,Alexandria,internship
amr-galaleldin-2011,https://www.linkedin.com/company/108462/,Sumerge,associate software engineer,Full-time,Dec 2022,Present,5.0,,software
amr-galaleldin-2011,https://www.linkedin.com/company/76548873/,Cegedim Egypt,software developer,Internship,Jul 2022,Aug 2022,2.0,,software
amr-galaleldin-2011,https://www.linkedin.com/company/11714911/,energenious,back end developer,Part-time,Nov 2021,Apr 2022,6.0,,back-end
amr-galaleldin-2011,UNKNOWN,Sequel Solutions,full-stack developer,Full-time,Jun 2021,Sep 2021,4.0,,full-stack
amr-khaled-632427199,https://www.linkedin.com/company/31293/,EJADA,r&amp;d ai engineer,Full-time,Aug 2022,Present,9.0,"Cairo, Egypt",AI
amr-m-abdelgawad,https://www.linkedin.com/company/2669/,Valeo,junior embedded software engineer,Full-time,Sep 2022,Present,8.0,"Smart village, Egypt",Embedded
amr-m-abdelgawad,https://www.linkedin.com/company/2669/,Valeo,gear-up academy,Internship,Sep 2022,,1.0,Egypt,
amr-m-abdelgawad,https://www.linkedin.com/company/84785093/,Learn In Depth,embedded software engineer - first star (midterm),Internship,May 2022,Jul 2022,3.0,"Cairo, Egypt",Embedded
amr-m-abdelgawad,https://www.linkedin.com/company/77081443/,IMT Company,avr embedded systems diploma,Internship,Aug 2021,Dec 2021,5.0,"Cairo, Egypt",Embedded
amr-magdy-095007131,https://www.linkedin.com/company/1441/,Google,software engineer,Full-time,Aug 2021,Present,21.0,"Warsaw, Mazowieckie, Poland",software
amr-magdy-095007131,https://www.linkedin.com/company/100688/,Expandium,software engineer,Full-time,May 2020,Jun 2021,14.0,"Cairo, Egypt",software
amr-mohamed-foad,https://www.linkedin.com/company/10667/,Meta,software engineer (infrastructure),Full-time,Jan 2022,Present,16.0,"London, England, United Kingdom",software
amr-mohamed-foad,https://www.linkedin.com/company/14045002/,Fawry Banking and Payment Technology Services,full-stack developer,Full-time,Jul 2021,Nov 2021,5.0,"Cairo, Egypt",full-stack
amr-mohamed-foad,https://www.linkedin.com/company/1217/,Vodafone,software engineer,Full-time,Jun 2020,Jun 2021,13.0,"Cairo, Egypt",software
amr-mohamed-foad,https://www.linkedin.com/company/18824001/,AKWAD,back end developer,Full-time,Apr 2019,Jun 2020,15.0,,back-end
amr-mohamed-foad,https://www.linkedin.com/company/18824001/,AKWAD,ios developer,Full-time,Dec 2018,Mar 2019,4.0,,mobile
amr-mohamed-foad,https://www.linkedin.com/company/18824001/,AKWAD,ios developer,Internship,Oct 2018,Nov 2018,2.0,,mobile
amr-mohamed-foad,https://www.linkedin.com/company/10219434/,Nagwa,software developer,Internship,Jul 2018,Sep 2018,3.0,"Cairo Governorate, Egypt",software
amr-muhammed,https://www.linkedin.com/company/1217/,Vodafone,devops engineer,Full-time,Sep 2022,Present,8.0,"Smart village, Cairo, egypt",devops
amr-muhammed,https://www.linkedin.com/company/2475568/,Udacity,aws advanced cloud devops - nano degree program.,Internship,Mar 2022,Jun 2022,4.0,Egypt,devops
amr-muhammed,https://www.linkedin.com/company/35548724/,Wide Horizons Egypt,system administrator,Full-time,Jun 2021,Sep 2021,4.0,"Alexandria, Egypt",IT
amr-muhammed,UNKNOWN,Global Gateway Outsourcing,it specialist,Full-time,Mar 2021,May 2021,3.0,"Alexandria, Egypt",IT
amrelrouby,https://www.linkedin.com/company/162479/,Apple,senior software engineer,,Dec 2019,Present,41.0,"Munich, Bavaria, Germany",software
amrelrouby,https://www.linkedin.com/company/1053/,Intel Corporation,lte framework engineer,,Aug 2014,Present,105.0,"Munich Area, Germany",
amrelrouby,https://www.linkedin.com/company/1053/,Intel Corporation,software engineer,,Mar 2011,Aug 2014,42.0,Cairo,software
amrelrouby,https://www.linkedin.com/company/27174/,SySDSoft,software engineer,,Jul 2010,Mar 2011,9.0,,software
amrelrouby,https://www.linkedin.com/company/733015/,BioBusiness-Eg,software engineer,,Feb 2009,Jul 2010,18.0,,software
amrelrouby,https://www.linkedin.com/company/1053/,Intel Corporation,software engineer,,Jun 2007,Sep 2007,4.0,,software
amrmustafa97,https://www.linkedin.com/company/84356320/,Anovate.ai,computer vision engineer,Full-time,Feb 2023,Present,3.0,Remote,AI
amrmustafa97,https://www.linkedin.com/company/17995678/,EGROBOTS,computer vision engineer,Full-time,Feb 2022,Jan 2023,12.0,,AI
amrmustafa97,https://www.linkedin.com/company/268822/,"Faculty of Engineering, Alexandria University, Egypt",teaching assistant,,Feb 2022,Jul 2022,6.0,,teaching
amrmustafa97,https://www.linkedin.com/company/69502515/,Codescalers Egypt,software engineer,Internship,Aug 2021,Sep 2021,2.0,,software
amroakmal,https://www.linkedin.com/company/3610041/,Incorta,software engineer ii,Full-time,Oct 2022,Present,7.0,,software
amroakmal,https://www.linkedin.com/company/3610041/,Incorta,software engineer,Full-time,Nov 2021,Nov 2022,13.0,,software
amroakmal,https://www.linkedin.com/company/3610041/,Incorta,software engineer,Internship,Aug 2021,Oct 2021,3.0,,software
amroakmal,https://www.linkedin.com/company/7709/,"University of California, Riverside",research assistant,Internship,Jul 2022,Sep 2022,3.0,,teaching
amroakmal,https://www.linkedin.com/company/2049284/,Alexandria University,teaching assistant,Full-time,Oct 2021,Dec 2021,3.0,"Alexandria, Egypt",teaching
amroakmal,https://www.linkedin.com/company/53157320/,m3ntorship,software engineer,Internship,Jan 2021,May 2021,5.0,Remote,software
amroakmal,https://www.linkedin.com/company/2049284/,Alexandria University,software engineer,Internship,May 2020,Sep 2020,5.0,"Alexandria, Egypt",software
amrtarekmo,https://www.linkedin.com/company/17951779/,Breadfast,software engineer,Full-time,Mar 2022,Present,14.0,"Cairo, Egypt",software
amrtarekmo,https://www.linkedin.com/company/3296198/,Crowd Analyzer,software engineer,Full-time,Sep 2021,Dec 2021,4.0,"Cairo, Egypt",software
amrtarekmo,https://www.linkedin.com/company/13653729/,bld.ai,software engineer,Full-time,Apr 2021,Aug 2021,5.0,,software
amrtarekmo,https://www.linkedin.com/company/19216515/,bringy digital ventures S.A.E.,software engineer,Full-time,Mar 2020,Apr 2021,14.0,"Cairo, Egypt",software
amrtarekmo,https://www.linkedin.com/company/28185360/,Badgewell,software engineer,Internship,Jul 2019,Sep 2019,3.0,Egypt,software
antoun-wagdy-025443b6,https://www.linkedin.com/company/5300/,Luxoft,software developer,Full-time,Oct 2022,Present,7.0,Egypt,software
antoun-wagdy-025443b6,https://www.linkedin.com/company/100688/,Expandium (a VIAVI Solutions company),software developer,Full-time,May 2021,Oct 2022,18.0,,software
antoun-wagdy-025443b6,https://www.linkedin.com/company/4827017/,Upwork,freelancer,Freelance,Aug 2018,May 2021,34.0,Egypt,
antoun-wagdy-025443b6,https://www.linkedin.com/company/2697/,Mentor Graphics,c developer,,Aug 2017,Oct 2017,3.0,Egypt,software
antoun-wagdy-025443b6,https://www.linkedin.com/company/1217/,Vodafone,product management enginneer,,Aug 2017,,1.0,Egypt,
arrashed,https://www.linkedin.com/company/11348/,Booking.com,senior software engineer,,Mar 2021,Present,26.0,,software
arrashed,https://www.linkedin.com/company/11348/,Booking.com,software engineer,,Aug 2017,Mar 2021,44.0,"Amsterdam Area, Netherlands",software
arrashed,https://www.linkedin.com/company/2382910/,Amazon Web Services,software engineer,,Apr 2016,Jun 2017,15.0,"The Hague Area, Netherlands",software
arrashed,https://www.linkedin.com/company/1110/,Orange Labs,software engineer,,Jun 2015,Jan 2016,8.0,Egypt,software
arrashed,https://www.linkedin.com/company/1009/,IBM,software engineer intern,,Jun 2012,Oct 2012,5.0,Cairo,software
arwa-mohammed-abdelhamid,https://www.linkedin.com/company/8331/,Orange Egypt,machine learning scientist,Full-time,Jan 2022,Present,16.0,"Cairo, Egypt",AI
arwa-mohammed-abdelhamid,https://www.linkedin.com/company/31293/,EJADA,big data engineer,Full-time,Apr 2021,Dec 2021,9.0,,data
arwa-mohammed-abdelhamid,https://www.linkedin.com/company/2049284/,Alexandria University,computer &amp; communications engineering,,Sep 2015,Aug 2020,60.0,,
asmaa-aman,https://www.linkedin.com/company/2624080/,Ibtikar Technologies,frontend engineer,Full-time,Nov 2020,Present,30.0,,front-end
asmaa-aman,https://www.linkedin.com/company/18438065/,Freelance Self-Employed,ui developer,,Apr 2018,Present,61.0,"Alexandria Governorate, Egypt",UI/UX
asmaa-aman,https://www.linkedin.com/company/10106459/,East Laws - Official,frontend developer,Full-time,Aug 2019,Nov 2020,16.0,"Alexandria Governorate, Egypt",front-end
asmaa-aman,https://www.linkedin.com/company/2631285/,ITSpark,junior frontend developer,,Sep 2018,Nov 2019,15.0,"Alexandria Governorate, Egypt",front-end
asmaa-aman,https://www.linkedin.com/company/17955679/,Proleaders Inistitute,marketing executive,,Aug 2016,Sep 2017,14.0,Saudi Arabia,
asmaa-elsayed-ahmed,https://www.linkedin.com/company/76548873/,Cegedim Egypt,devops engineer,Full-time,Jun 2022,Present,11.0,Egypt,devops
asmaa-esam-a17b23189,https://www.linkedin.com/company/75064999/,Depax,react native developer,Full-time,Mar 2022,Present,14.0,"El Mansoura, Ad Daqahliyah, Egypt",mobile
asmaa-esam-a17b23189,https://www.linkedin.com/company/42472016/,Datacenturies,react native developer,Full-time,May 2020,May 2021,13.0,Tallinn,mobile
asmaa-esam-a17b23189,https://www.linkedin.com/company/3567701/,Mobileaders,android developer,Internship,Nov 2019,Apr 2020,6.0,,mobile
asmaa-ramadan,https://www.linkedin.com/company/17951779/,Breadfast,senior software testing engineer,Full-time,Sep 2020,Present,32.0,,QA
